UPC,52WeekGrowth
4691,-0.007055
4701,0.000797
4723,0.000530
4727,0.002523
4728,0.002671
4734,-0.006786
4735,0.303119
4738,0.000000
4740,-0.005765
4743,0.001173
4745,-0.003679
4747,0.000699
4750,-0.020175
4751,-0.003424
4752,-0.001572
4758,-0.012525
4759,-0.000058
4761,0.000000
4762,-0.007837
4769,0.007160
4770,0.251816
4773,0.000161
4776,0.005695
4784,0.003712
4785,-0.002463
4793,-0.000160
4795,0.000000
4799,0.004357
4800,0.018509
4801,-0.001001
4809,-0.009466
4811,0.002155
4816,0.024844
4819,-0.003566
4889,-0.000459
4891,0.002984
4899,0.009302
4901,0.000435
4910,-0.000682
4927,0.001511
4929,-0.013284
4943,0.000000
4959,-0.056726
5023,-0.000370
5045,-0.000030
5056,-0.000209
5060,-0.000342
5061,0.000999
5073,-0.000492
5074,-0.000171
5082,0.000308
5085,0.001022
5096,0.000417
5111,-0.000352
5130,0.000000
5132,-0.000148
5163,0.000000
5166,0.000194
5171,0.000088
5185,0.000188
5187,-0.000397
5197,-0.000419
5208,-0.000402
5349,-0.000127
5357,-0.000435
5389,0.000562
5394,-0.000599
5401,0.000836
5405,0.000370
5406,-0.000263
5416,0.000000
5423,0.000111
5474,-0.000548
5478,-0.000414
5486,-0.000807
5491,0.000380
5505,-0.000567
5517,0.000331
5624,0.001244
5727,0.000352
5754,0.003793
5755,0.000085
5758,0.001161
5768,0.000000
5779,0.005924
5848,0.002529
5880,-0.000960
6203,0.002417
6204,0.009204
6499,-0.001415
6509,0.000219
6656,0.000394
6715,0.032749
6961,0.000594
6963,-0.079221
6984,-0.000151
7025,-0.000569
7276,0.000895
7281,0.000435
7378,0.000192
7393,-0.000362
7426,0.001004
7431,-0.000305
7453,-0.000661
7498,-0.012835
7499,-0.014517
7507,0.002371
7510,0.001638
7522,0.000225
7544,0.301555
7550,-0.013819
7557,-0.004204
7576,-0.047501
7577,-0.007524
7578,-0.004566
7580,0.000000
7584,-0.000282
7585,-0.001277
7591,-0.003933
7592,-0.006950
7596,0.000201
7599,-0.000004
7621,-0.001047
7623,0.000893
7632,-0.001655
7633,-0.000807
7641,0.000121
7663,0.000345
7783,-0.000287
8019,0.000000
8022,-0.000990
8249,-0.003354
8339,0.000336
8347,-0.000429
8377,-0.000795
8380,-0.094038
8439,0.001752
8463,0.000000
8465,-0.001372
8466,0.000000
8479,0.001559
8484,0.000811
8493,0.001560
8527,-0.000975
8534,0.000616
8538,-0.003229
8641,-0.000982
8645,-0.000544
8646,0.000000
8647,0.000204
8649,-0.001426
8650,-0.000499
8651,-0.005283
8652,-0.001111
8697,0.000275
8723,0.000000
8737,-0.000906
8884,0.000400
8925,0.000206
8926,0.000206
8927,-0.029618
8928,0.000293
8929,-0.002865
8930,-0.000362
9000,0.000514
9044,-0.000056
9076,0.003115
9077,-0.000501
9119,0.000000
9135,-0.015993
9189,0.002455
9197,-0.000269
9245,-0.000415
9347,0.575000
9348,0.353846
9351,0.000000
9402,0.001821
9403,-0.016503
9404,-0.008822
9405,-0.004837
9575,-0.027312
33179,-0.000322
54683,-0.140411
93029,-0.085253
93082,-0.000122
93093,0.100000
93095,0.000246
93107,0.002723
93108,-0.003032
93110,0.002702
93120,-0.003126
93121,-0.000337
93127,-1.642857
93134,0.000743
93151,-0.002353
93166,0.000249
93273,0.006317
93278,-0.079399
93283,-0.009833
93289,-0.018301
93320,-0.033377
93412,0.000000
