StoreID,TRANSACTION_ID,Date,TRANS_HOUR,TRANS_MINUTE,CASHIER_NUMBER,TERMINAL_NUMBER,UPC,ProductName,CATEGORY,CATEGORY_SUB,DEPT_KEY_Name,DEPT_MASTER_Name,Quantity,Price,Sales
7044,20190223653025,2019-02-23 00:00:00.000,14,43,103,5,3680014637,FC LEMON JUICE,VEG/FRUIT JUICE BOTTLED,ISOTONIC AND GATORADE-WT ,GROCERY FS,Grocery,1,1.85,1.85
7044,20190223652671,2019-02-23 00:00:00.000,14,37,103,5,7110100362,SUPER 1 LARGE AAPULP,EGGS,UNKNOWN,GROCERY DAIRY,Grocery,1,1.28,1.28
7044,20190223652629,2019-02-23 00:00:00.000,14,37,122,3,4011,BANANAS YELLOW                ,PRODUCE,produce,PRODUCE FS,Produce,1,0.58,2.16
7044,20190223652786,2019-02-23 00:00:00.000,14,39,643,12,60458000392,ACE SUSHI CHEF SPECIAL,DELICATESSEN,deli items,SUSHI,Grocery,1,12.99,12.99
7044,20190223652644,2019-02-23 00:00:00.000,14,37,128,7,4011,BANANAS YELLOW                ,PRODUCE,produce,PRODUCE FS,Produce,1,0.58,0.29
7044,20190223653055,2019-02-23 00:00:00.000,14,44,122,3,4011,BANANAS YELLOW                ,PRODUCE,produce,PRODUCE FS,Produce,1,0.58,1.15
7044,20190223653054,2019-02-23 00:00:00.000,14,44,103,5,4400005121,NBC WHT THIN PEPPER/OL,CRACKERS,NBC CRACKERS,GROCERY FS,Grocery,1,2.88,2.88
7044,20190223653054,2019-02-23 00:00:00.000,14,44,103,5,5100021446,SWAN CHIC STOCK,CANNED SOUP,SOUP CONDENSED,GROCERY FS,Grocery,1,2.85,2.85
7044,20190324670292,2019-03-24 00:00:00.000,19,31,124,6,7110100160,CHERRY LANE LG BROWN 1,EGGS,EGGS BASKETS,GROCERY DAIRY,Grocery,1,3.98,3.98
7044,20190324671482,2019-03-24 00:00:00.000,19,51,124,6,0,COKE 6 PACK,BEVERAGE & MIXES,DSD BEVERAGES-POP6 PACKS,GROC CARB BEV CANDY,Grocery,-1,0.5,-0.5
7044,20190324670507,2019-03-24 00:00:00.000,19,35,128,5,2700039014,HUNT TOMATO SAUCE             ,TOMATO PASTE SAUCES,TOMATO SAUCE,GROCERY FS,Grocery,1,1.39,1.39
7044,20190324671152,2019-03-24 00:00:00.000,19,45,124,6,7110100160,CHERRY LANE LG BROWN 1,EGGS,EGGS BASKETS,GROCERY DAIRY,Grocery,1,3.98,3.98
7044,20190223665977,2019-02-23 00:00:00.000,18,19,130,3,1681,COS TUNA COUPON,COUPONS,EXCELL AD COUPONS,GROCERY FS,Grocery,1,1,-1
7044,20190223666639,2019-02-23 00:00:00.000,18,30,121,5,5543762912,MELITTA JR WHITE BASKE,HOUSEWARES,COFFEE FILTERS,GENERAL MERCHANDISE,GM,1,1.99,1.99
7044,20190223667176,2019-02-23 00:00:00.000,18,39,128,7,7010001183,JM THICK BOLOGNA              ,LUNCH MEATS              ,LUNCHMEAT MISC,MEAT DEPT DELI TO BE DELE,Meat,1,1.48,1.48
7044,20190223651972,2019-02-23 00:00:00.000,14,26,124,2,0,COKE 6 PACK,BEVERAGE & MIXES,DSD BEVERAGES-POP6 PACKS,GROC CARB BEV CANDY,Grocery,-1,5.98,-6.88
7044,20190223652086,2019-02-23 00:00:00.000,14,28,128,7,0,COKE 6 PACK,BEVERAGE & MIXES,DSD BEVERAGES-POP6 PACKS,GROC CARB BEV CANDY,Grocery,1,5.98,5.98
7044,20190223652006,2019-02-23 00:00:00.000,14,26,103,5,920050362,GREETING CARD 99,GREETING CARDS           ,HALLMARK CARDS           ,GENERAL MERCHANDISE,GM,1,0.99,0.99
7044,20190223669001,2019-02-23 00:00:00.000,19,10,119,6,0,COKE 6 PACK,BEVERAGE & MIXES,DSD BEVERAGES-POP6 PACKS,GROC CARB BEV CANDY,Grocery,1,3.89,0.47
7044,20190223667735,2019-02-23 00:00:00.000,18,48,121,5,1681,COS TUNA COUPON,COUPONS,EXCELL AD COUPONS,GROCERY FS,Grocery,1,1,-1
7044,20190223667792,2019-02-23 00:00:00.000,18,49,119,6,0,COKE 6 PACK,BEVERAGE & MIXES,DSD BEVERAGES-POP6 PACKS,GROC CARB BEV CANDY,Grocery,1,3.99,1.17
7044,20190223652423,2019-02-23 00:00:00.000,14,33,128,7,3320003020,A&H CONC WASHING SODA         ,BLEACHES & FABRIC SOFTENE,WATER SOFTENER,GROCERY NFS,Grocery,1,3.73,3.73
7044,20190223669619,2019-02-23 00:00:00.000,19,20,121,7,1681,COS TUNA COUPON,COUPONS,EXCELL AD COUPONS,GROCERY FS,Grocery,1,1,-1
7044,20190223670981,2019-02-23 00:00:00.000,19,43,119,6,0,COKE 6 PACK,BEVERAGE & MIXES,DSD BEVERAGES-POP6 PACKS,GROC CARB BEV CANDY,Grocery,1,1.48,3.48
7044,20190223669691,2019-02-23 00:00:00.000,19,21,119,6,23995500000,POPCORN CARAMEL SMALL,UNKNOWN CATAGORY,BAKERY DEPT,BAKERY IN STORE,Bakery,1,1.98,1.98
7044,20190223667886,2019-02-23 00:00:00.000,18,51,130,3,0,COKE 6 PACK,BEVERAGE & MIXES,DSD BEVERAGES-POP6 PACKS,GROC CARB BEV CANDY,Grocery,1,3.89,3.89
7044,20190223671175,2019-02-23 00:00:00.000,19,46,119,6,85773200278,RUNA RTD ORG HINT OF L,NATURAL FOODS,NATURAL-ENERGY DRINKS-WT ,NATURAL GROCERY          ,Natural Organic,1,2.19,2.19
7044,20190223671313,2019-02-23 00:00:00.000,19,48,121,7,3100080922,BANQ CLASSIC MAC&CHS,FROZEN DINNERS & ENTREES,FROZEN REGULAR DINNERS,GROCERY FROZEN,Grocery,1,1.28,1.28
7044,20190223667441,2019-02-23 00:00:00.000,18,44,119,6,84945500003,TUMARO WRAP LC MULTIGR,MISC ETHNIC FOODS,FASHIONS,NATURAL GROCERY          ,Natural Organic,1,3.68,3.68
7044,20190223667792,2019-02-23 00:00:00.000,18,49,119,6,23718500000,DELI RED POTATO SALAD,DELICATESSEN,DELI SALADS,DELI COLD SERVICE FS,Deli,1,3.99,1.17
7044,20190223667395,2019-02-23 00:00:00.000,18,43,121,5,4093,ONION YELLOW BROWN MED,PRODUCE,produce,PRODUCE FS,Produce,1,0.68,0.47
7044,20190223667441,2019-02-23 00:00:00.000,18,44,119,6,84945500003,TUMARO WRAP LC MULTIGR,MISC ETHNIC FOODS,FASHIONS,NATURAL GROCERY          ,Natural Organic,1,3.68,3.68
7044,20190223670682,2019-02-23 00:00:00.000,19,38,121,7,4154875090,DREYER SC LT MNT COOKI,FROZEN ICE CREAM PRODUCTS,UNKNOWN SUB CATAGORY,GROCERY FROZEN,Grocery,1,2.98,2.98
7044,20190223668286,2019-02-23 00:00:00.000,18,58,128,7,3338353650,POTATOES 10 LB BAG            ,PRODUCE,produce,PRODUCE FS,Produce,1,3.28,0.98
7044,20190223652157,2019-02-23 00:00:00.000,14,29,124,2,23361100000,PORK SHOULDER ROAST WH,FRESH MEAT - RETAIL,PORK,MEAT,Meat,1,1.68,20.95
7044,20190223652885,2019-02-23 00:00:00.000,14,41,103,5,3338353650,POTATOES 10 LB BAG            ,PRODUCE,produce,PRODUCE FS,Produce,1,3.28,0.98
7044,20190223652795,2019-02-23 00:00:00.000,14,39,122,3,3680005993,TC TENDER TAPE 1X5            ,FIRST AID,TAPE-ADHESIVE,GENERAL MERCHANDISE,GM,1,1.99,1.99
7044,20190223653359,2019-02-23 00:00:00.000,14,49,122,3,7046203596,JARET SR PATCH KIDS           ,CANDY PEG PACK,CANDYHANGING BAGS-WNT   ,GROC CARB BEV CANDY,Grocery,1,2.29,2.29
7044,20190223652780,2019-02-23 00:00:00.000,14,39,128,7,4093,ONION YELLOW BROWN MED,PRODUCE,produce,PRODUCE FS,Produce,1,0.68,0.63
7044,20190223652987,2019-02-23 00:00:00.000,14,43,128,7,1676,CORN COUPON,COUPONS,EXCELL AD COUPONS,PRODUCE FS,Produce,1,9.99,-9.99
7044,20190223653113,2019-02-23 00:00:00.000,14,45,122,3,4688,PEPPERS GREENHOUSE RED        ,PRODUCE,produce,PRODUCE FS,Produce,1,1.28,1.28
7044,20190223652190,2019-02-23 00:00:00.000,14,29,643,12,23735100000,HOT DELI JO JO POTATOE,DELICATESSEN,DELI HOT PRODUCTS,DELI HOT SERVICE NFS,Deli,1,1.98,0.57
7044,20190223652264,2019-02-23 00:00:00.000,14,31,103,5,61300872085,ARIZONA ARNOLD PALMER ,BEVERAGE & MIXES,BOTTLED-TEA-WT           ,GROCERY FS,Grocery,1,1.98,1.98
7044,20190223652461,2019-02-23 00:00:00.000,14,34,124,2,83305000101,STACK HIGH GRAVITY BEE,BEER,BEER,GROCERY BEER,Grocery,1,1.78,1.78
7044,20190223653159,2019-02-23 00:00:00.000,14,45,103,5,7890745034,EL SAB GUACAMOLE TORT ,POTATO CHIPS,POTATO CHIPS-SNACKS,GROCERY FS,Grocery,1,2.78,2.78
7044,20190223652782,2019-02-23 00:00:00.000,14,39,103,5,5190080104,LOF DELI SHAVED HONEY ,LUNCH MEATS              ,WAFER 10-12 OZ,MEAT DEPT DELI TO BE DELE,Meat,1,2.98,2.98
7044,20190223652885,2019-02-23 00:00:00.000,14,41,103,5,4688,PEPPERS GREENHOUSE RED        ,PRODUCE,produce,PRODUCE FS,Produce,1,1.28,1.28
7044,20190223653108,2019-02-23 00:00:00.000,14,45,128,7,4011,BANANAS YELLOW                ,PRODUCE,produce,PRODUCE FS,Produce,1,0.58,0.9
7044,20190223652184,2019-02-23 00:00:00.000,14,29,705,20,4011,BANANAS YELLOW                ,PRODUCE,produce,PRODUCE FS,Produce,1,0.58,4.8
7044,20190127659067,2019-01-27 00:00:00.000,16,24,135,2,88491218005,POST SHRED WHEAT              ,CEREALS,CEREAL MISC READ-TO-SERVE,GROCERY FS,Grocery,1,2.98,2.98
7044,20190127659549,2019-01-27 00:00:00.000,16,32,122,5,3680033714,FC FRUIT COCKTAIL CH H,CANNED FRUIT,FRUIT COCKTAIL-CANNED,GROCERY FS,Grocery,1,2.69,2.69
7044,20190127659931,2019-01-27 00:00:00.000,16,38,122,5,2100065883,KFT MAC & CHS DINNER          ,PKG DINNERSPIZZA&STUFFIN,MACARONI & CHEESE,GROCERY FS,Grocery,1,0.98,0.48
7044,20190127659931,2019-01-27 00:00:00.000,16,38,122,5,2100065883,KFT MAC & CHS DINNER          ,PKG DINNERSPIZZA&STUFFIN,MACARONI & CHEESE,GROCERY FS,Grocery,1,0.98,0.98
7044,20190127660019,2019-01-27 00:00:00.000,16,40,135,4,4011,BANANAS YELLOW                ,PRODUCE,produce,PRODUCE FS,Produce,1,0.58,3.88
7044,20190127659180,2019-01-27 00:00:00.000,16,26,122,5,1122513476,SD PAPER TOWEL 8=12 UL,PAPER TOWELS,PAPER TOWELS,GROCERY NFS,Grocery,1,10.99,10.99
7044,20190127659931,2019-01-27 00:00:00.000,16,38,122,5,2100065883,KFT MAC & CHS DINNER          ,PKG DINNERSPIZZA&STUFFIN,MACARONI & CHEESE,GROCERY FS,Grocery,1,0.98,0.98
